       NetworkManager |      default                           
                acpid |      default                           
          agetty.tty1 |      default                           
          agetty.tty2 |      default                           
          agetty.tty3 |      default                           
          agetty.tty4 |      default                           
          agetty.tty5 |      default                           
          agetty.tty6 |      default                           
               binfmt | boot                                   
           bluetoothd |      default                           
             bootmisc | boot                                   
              cgroups |                                 sysinit
               chrony |      default                           
          consolefont | boot                                   
               cronie |      default                           
                cupsd |      default                           
                 dbus |      default                           
                devfs |                                 sysinit
                dmesg |                                 sysinit
              elogind | boot                                   
            esysusers | boot                                   
        etmpfiles-dev |                                 sysinit
      etmpfiles-setup | boot                                   
                 fsck | boot                                   
             hostname | boot                                   
              hwclock | boot                                   
                  iwd |      default                           
              keymaps | boot                                   
            killprocs |                        shutdown        
    kmod-static-nodes |                                 sysinit
                local |      default nonetwork                 
           localmount | boot                                   
             loopback | boot                                   
              metalog |      default                           
              modules | boot                                   
             mount-ro |                        shutdown        
                 mtab | boot                                   
               net.lo | boot                                   
             netmount |      default                           
               procfs | boot                                   
                 root | boot                                   
         save-keymaps | boot                                   
    save-termencoding | boot                                   
            savecache |                        shutdown        
                 sddm |      default                           
              seedrng | boot                                   
                 swap | boot                                   
               sysctl | boot                                   
                sysfs |                                 sysinit
         termencoding | boot                                   
                  tlp |      default                           
                 udev |                                 sysinit
         udev-trigger |                                 sysinit
                  ufw |      default                           
